|网点名称|地址|电话|区县|经纬度|银行名称
0|中国信合(坡头信用社)|楼村派出所附近|0919-6921034|耀州区|108.901136,34.852770|金融保险服务;银行;农村商业银行
1|陕西信合|金鼎路与铁诺南路交汇处附近|0919-3288491|耀州区|108.947192,34.902485|金融保险服务;银行;农村商业银行
2|中国信合ATM(新城信用社)|金鼎路与铁诺南路交叉口西北150米|[]|耀州区|108.947075,34.902631|金融保险服务;自动提款机;农村商业银行ATM
3|陕西信合(山城信用社)|七一路89号|0919-2183097|王益区|109.084263,35.072902|金融保险服务;银行;农村商业银行
4|中国银行(金谟路支行)|金谟路湘里人家西南50米|0919-3385902|耀州区|108.943692,34.907404|金融保险服务;银行;中国银行
5|中国农业银行(新区支行)|新区金谟西路2号|0919-3182660;0919-3286158|耀州区|108.938620,34.903459|金融保险服务;银行;中国农业银行
6|中国信合(鑫光储蓄所)|泥阳路北50米|[]|印台区|109.107073,35.120460|金融保险服务;银行;农村商业银行
7|中国工商银行(铜川正阳路支行)|新区正阳路12号联通公司西邻|0919-3191599|耀州区|108.950598,34.898576|金融保险服务;银行;中国工商银行
8|中国工商银行(耀州区支行)|药王路95号|0919-6281476;0919-6281459|耀州区|108.975944,34.915675|金融保险服务;银行;中国工商银行
9|中国银行(铜川耀州区支行)|北大街步寿路7号耀州图书馆南20米|0919-6181061;0919-6181434|耀州区|108.977572,34.919004|金融保险服务;银行;中国银行
10|中国工商银行(铜川新区支行)|新区金谟西路35号(近新区管委会)|0919-3181027|耀州区|108.936642,34.902502|金融保险服务;银行;中国工商银行
11|中国银行(西街支行)|文营西路西街小学旁|0919-6282075|耀州区|108.977975,34.908323|金融保险服务;银行;中国银行
12|长安银行(永乐商城)|永安北路189号永乐商城F1层|[]|耀州区|108.979694,34.913800|金融保险服务;银行;银行
13|中国建设银行(铜川新区支行)|铁诺北路1号(天使小区1号楼)|0919-3181139|耀州区|108.944588,34.904361|金融保险服务;银行;中国建设银行
14|长安银行(铜川分行)|印象20081楼|0919-3159300|耀州区|108.938372,34.892088|金融保险服务;银行;银行
15|中国信合(柳林中心卫生院北)|柳林中心卫生院附近(柳林镇)|0919-6811219|耀州区|108.818672,35.054814|金融保险服务;银行;农村商业银行
16|陕西信合|华原路与塔坡路交叉口西南50米|[]|耀州区|108.977022,34.920582|金融保险服务;银行;农村商业银行
17|铜川耀州新华村镇银行|华原路与锦阳路交叉口西南150米|[]|耀州区|108.969475,34.918856|金融保险服务;银行;银行
18|中国工商银行|东环路与正阳路交叉口西100米|[]|耀州区|108.959248,34.904561|金融保险服务;银行;中国工商银行
19|中国信合(关庄信用社)|关庄镇中国人寿保险东南80米|0919-6861013|耀州区|108.873713,34.958055|金融保险服务;银行;农村商业银行
20|中国建设银行(永安北路支行)|永安北路中段(鼎尚购物广场旁边)|[]|耀州区|108.978840,34.914675|金融保险服务;银行;中国建设银行
21||咸丰东路8附近|[]|耀州区|108.945123,34.910258|金融保险服务;银行;中国工商银行
22|中国工商银行(长丰北路)|永安南路102号|[]|耀州区|108.980870,34.908388|金融保险服务;银行;中国工商银行
23|中国工商银行(南大街支行)|金谟路永辉大厦1层|0919-3158805|耀州区|108.940492,34.906953|金融保险服务;银行;中国工商银行
24|中国工商银行(金谟路支行)|同官路150号|0919-4183140;0919-4183610|印台区|109.102125,35.106098|金融保险服务;银行;中国农业银行
25|中国农业银行(铜川印台区支行)|五一路20号(近火车站)|[]|王益区|109.095334,35.079089|金融保险服务;银行;中国建设银行
26|中国建设银行(铜川分行)|药王路75号|0919-6183614;0919-6585294|耀州区|108.975079,34.915204|金融保险服务;银行;中国建设银行
27|中国建设银行(耀州区支行)|杏树坪村万邦电脑科技东侧50米|0919-7568751|耀州区|108.870994,35.261834|金融保险服务;银行;中国工商银行
28|中国工商银行(崔家沟支行)|长虹南路与正阳路十字南侧|0919-3181139;0919-2152093|耀州区|108.947763,34.895793|金融保险服务;银行;中国建设银行
