|网点名称|地址|电话|区县|经纬度|银行名称
0|中国信合(坡头信用社)|楼村派出所附近|0919-6921034|耀州区|108.901136,34.852770|中国信合(坡头信用社)
1|陕西信合|金鼎路与铁诺南路交汇处附近|0919-3288491|耀州区|108.947192,34.902485|陕西信合
2|中国信合ATM(新城信用社)|金鼎路与铁诺南路交叉口西北150米|0919-2183097|耀州区|108.947075,34.902631|中国信合ATM(新城信用社)
3|陕西信合(山城信用社)|七一路89号|0919-3385902|王益区|109.084263,35.072902|陕西信合(山城信用社)
4|中国银行(金谟路支行)|金谟路湘里人家西南50米|0919-3182660;0919-3286158|耀州区|108.943692,34.907404|中国银行(金谟路支行)
5|中国农业银行(新区支行)|新区金谟西路2号|0919-3191599|耀州区|108.938620,34.903459|中国农业银行(新区支行)
6|中国信合(鑫光储蓄所)|泥阳路北50米|0919-6281476;0919-6281459|印台区|109.107073,35.120460|中国信合(鑫光储蓄所)
7|中国工商银行(铜川正阳路支行)|新区正阳路12号联通公司西邻|0919-6181061;0919-6181434|耀州区|108.950598,34.898576|中国工商银行(铜川正阳路支行)
8|中国工商银行(耀州区支行)|药王路95号|0919-3181027|耀州区|108.975944,34.915675|中国工商银行(耀州区支行)
9|中国银行(铜川耀州区支行)|北大街步寿路7号耀州图书馆南20米|0919-6282075|耀州区|108.977572,34.919004|中国银行(铜川耀州区支行)
10|中国工商银行(铜川新区支行)|新区金谟西路35号(近新区管委会)|0919-3181139|耀州区|108.936642,34.902502|中国工商银行(铜川新区支行)
11|中国银行(西街支行)|文营西路西街小学旁|0919-3159300|耀州区|108.977975,34.908323|中国银行(西街支行)
12|长安银行(永乐商城)|永安北路189号永乐商城F1层|0919-6811219|耀州区|108.979694,34.913800|长安银行(永乐商城)
13|中国建设银行(铜川新区支行)|铁诺北路1号(天使小区1号楼)|0919-6861013|耀州区|108.944588,34.904361|中国建设银行(铜川新区支行)
14|长安银行(铜川分行)|印象20081楼|0919-4183694|耀州区|108.938372,34.892088|长安银行(铜川分行)
15|中国信合(柳林中心卫生院北)|柳林中心卫生院附近(柳林镇)|0919-3158805|耀州区|108.818672,35.054814|中国信合(柳林中心卫生院北)
16|陕西信合|华原路与塔坡路交叉口西南50米|0919-4183140;0919-4183610|耀州区|108.977022,34.920582|陕西信合
17|铜川耀州新华村镇银行|华原路与锦阳路交叉口西南150米|0919-6183614;0919-6585294|耀州区|108.969475,34.918856|铜川耀州新华村镇银行
18|中国工商银行|东环路与正阳路交叉口西100米|0919-7568751|耀州区|108.959248,34.904561|中国工商银行
19|中国信合(关庄信用社)|关庄镇中国人寿保险东南80米|0919-3181139;0919-2152093|耀州区|108.873713,34.958055|中国信合(关庄信用社)
20|中国建设银行(永安北路支行)|永安北路中段(鼎尚购物广场旁边)|0919-2151357;0919-2151748|耀州区|108.978840,34.914675|中国建设银行(永安北路支行)
21|中国工商银行(长丰北路)|咸丰东路8附近|0919-6182021|印台区|109.099316,35.111344|中国工商银行(长丰北路)
22|中国工商银行(南大街支行)|永安南路102号|0919-2392057|耀州区|108.945123,34.910258|中国工商银行(南大街支行)
23|中国工商银行(金谟路支行)|金谟路永辉大厦1层|0919-3281691|耀州区|108.980870,34.908388|中国工商银行(金谟路支行)
24|中国农业银行(铜川印台区支行)|同官路150号|0919-3588118|耀州区|108.940492,34.906953|中国农业银行(铜川印台区支行)
25|中国建设银行(铜川分行)|五一路20号(近火车站)|0919-2183097|印台区|109.102125,35.106098|中国建设银行(铜川分行)
26|中国建设银行(耀州区支行)|药王路75号|0919-4183814|王益区|109.095334,35.079089|中国建设银行(耀州区支行)
27|中国工商银行(崔家沟支行)|杏树坪村万邦电脑科技东侧50米|0919-2163463|耀州区|108.975079,34.915204|中国工商银行(崔家沟支行)
28|中国建设银行(铜川分行营业部)|长虹南路与正阳路十字南侧|0919-3581138|耀州区|108.870994,35.261834|中国建设银行(铜川分行营业部)
29|中国建设银行(红旗街支行)|红旗街64号附2号|0919-3285597|耀州区|108.947763,34.895793|中国建设银行(红旗街支行)
30|中国农业银行(耀州区支行)|药王路86号|0919-2183267|王益区|109.074047,35.067090|中国农业银行(耀州区支行)
31|中国银行铜川川口支行|川口路9号金茂大厦1楼|0919-4183229;0919-4183040|耀州区|108.976687,34.915845|中国银行铜川川口支行
32|中国银行|金鼎路与铁诺南路十字东北角|0919-2660988|王益区|109.060608,35.061798|中国银行
33|中国邮政储蓄银行(铁诺南路)|华原东道龙凤佳城商业广场B座1层105号|0919-5986343|王益区|109.059370,35.062747|中国邮政储蓄银行(铁诺南路)
34|中国邮政储蓄银行(铁诺支行)|鸭口矿广徐路93号|0919-2686702|耀州区|108.947700,34.902910|中国邮政储蓄银行(铁诺支行)
35|中国工商银行(铜川新区分行)|斯明街与经纬路交叉口东北150米|0919-2681931|耀州区|108.945658,34.903840|中国工商银行(铜川新区分行)
36|中国建设银行(斯正街)|新区长虹南路大耀城新时代酒店一层|0919-3183233|耀州区|108.941716,34.902184|中国建设银行(斯正街)
37|西安银行(铜川分行)|朝阳路海林御苑|0919-6986015|耀州区|108.940949,34.895858|西安银行(铜川分行)
38|中国银行(铜川朝阳路支行)|永安北路23号|0919-2895827|耀州区|108.948163,34.896413|中国银行(铜川朝阳路支行)
39|中国农业银行(城关分理处)|七一路与公园路交叉口西北50米|0919-2153053|耀州区|108.930254,34.886187|中国农业银行(城关分理处)
40|中国信合(山城信用社)|正阳路与长丰南路交汇处|0919-7189288|耀州区|108.980561,34.907925|中国信合(山城信用社)
41|中国农业银行(铜川正阳路分理处)|七一路103号|0919-2660988|王益区|109.084370,35.072935|中国农业银行(铜川正阳路分理处)
42|中国农业银行(铜川七一路支行)|新区正阳路3号|0919-3288491|耀州区|108.954727,34.900690|中国农业银行(铜川七一路支行)
43|中国人民银行(铜川市中心支行)|同官路66号|0919-6181109|王益区|109.078403,35.070552|中国人民银行(铜川市中心支行)
44|中国银行ATM(印台支行)|长虹南路碰碰凉旁(秦岭小区门口)|0919-2165706|耀州区|108.940730,34.893335|中国银行ATM(印台支行)
45|陕西信合(长虹信用社)|同官路66号|0919-6931021|印台区|109.099904,35.116216|陕西信合(长虹信用社)
46|中国银行(印台支行)|七一路80号药市斜对面(乐万家购物中心附近)|0919-6821186|耀州区|108.949737,34.894712|中国银行(印台支行)
47|中国信合(七一路分社)|同官路中段|0919-3191592|王益区|109.060071,35.061068|中国信合(七一路分社)
48|中国信合24小时自助银行(川口路)|朝阳路西50米|0919-7189288|印台区|109.099951,35.116460|中国信合24小时自助银行(川口路)
49|中国农业银行(铜川朝阳路分理处)|金谟东路2号|0919-2185004|耀州区|108.973868,34.915409|中国农业银行(铜川朝阳路分理处)
50|中国建设银行24小时自助银行(新区支行)|步寿路与药王路交叉口东150米|0919-3283016|印台区|109.099695,35.112950|中国建设银行24小时自助银行(新区支行)
51|陕西信合|北新街(电力局对面)|0919-2181333|耀州区|108.930105,34.886084|陕西信合
52|陕西信合|棋盘镇棋盘村东组69号|0919-6585452|耀州区|108.944525,34.904318|陕西信合
53|中国信合(棋盘信用社)|210国道西50米|0919-2683764|耀州区|108.979947,34.916195|中国信合(棋盘信用社)
54|中国信合(新乐分社)|五一路与河滨路交叉口北50米|0919-6183644|耀州区|108.978379,34.917588|中国信合(新乐分社)
55|中国工商银行(铜川五一路支行)|王家河北路西50米|0919-3281691;0919-2801286|宜君县|109.193428,35.300876|中国工商银行(铜川五一路支行)
56|中国信合(王家河北路)|华原东道枫林小区北门旁|0919-2895827|王益区|109.036653,35.020924|中国信合(王家河北路)
57|长安银行(枫林社区支行)|红旗街156附近|0919-2151332;0919-2151211|王益区|109.098597,35.082634|长安银行(枫林社区支行)
58|中国信合(红旗分社)|董家河镇铜川市航汽铝工业园附近|0919-7189388|王益区|109.051463,35.073145|中国信合(红旗分社)
59|陕西信合|青年路|0919-2686702|耀州区|108.937991,34.898628|陕西信合
60|陕西信合|红旗街86号信合大厦陕西信合营业厅|0919-7382323|王益区|109.065250,35.062230|陕西信合
61|陕西信合(新建巷分社)|黄堡街与210国道交汇处东100米|0919-6988100|王益区|109.065177,35.062287|陕西信合(新建巷分社)
62|陕西信合(黄堡分社)|药王路与锦阳路交叉口东100米|0919-6986015|耀州区|109.004373,34.966844|陕西信合(黄堡分社)
63|陕西信合|永安南路99附近|0919-6580154|王益区|109.104171,35.082268|陕西信合
64|陕西信合|金鼎路与铁诺南路交叉口西北150米|0919-4183694;0919-4183467|王益区|109.072013,35.065371|陕西信合
65|中国信合(新城信用社)|金谟路永辉大厦1层附近|0919-2183823;0919-2187541|王益区|109.027273,35.003161|中国信合(新城信用社)
66|中国信合|七一路翠溪大厦C段(近体育桥)|0919-4183405|耀州区|108.973077,34.915231|中国信合
67|中国建设银行(七一路支行)|照金街道|0919-2159255|耀州区|108.982288,34.903128|中国建设银行(七一路支行)
68|陕西信合|瑶曲镇下石节矿|0919-2895827|耀州区|108.947075,34.902633|陕西信合
69|中国信合(瑶曲镇)|红旗街19号|0919-2151432|耀州区|108.980556,34.907942|中国信合(瑶曲镇)
70|中国信合(川口路店)|长虹南路新时代广场1层|0919-2681087|耀州区|108.940465,34.906716|中国信合(川口路店)
71|中国农业银行(长虹路支行)|黄堡街与210国道交叉口东北150米|0919-3182977;0919-2180323|王益区|109.079214,35.070999|中国农业银行(长虹路支行)
72|陕西信合黄堡信用社|川口路14号|0919-8159999|耀州区|108.639343,35.055111|陕西信合黄堡信用社
73|陕西信合(川口路店)|石柱乡石柱街道创新装饰东南30米|0919-3285087|耀州区|108.881868,35.191542|陕西信合(川口路店)
74|中国信合(石柱信用社)|斯正街|0919-2696031|王益区|109.072240,35.065513|中国信合(石柱信用社)
75|中国农业发展银行(铜川市分行营业部)|孙塬镇南大街(南街幼儿园对面)附近|0919-2887219|耀州区|108.949455,34.895009|中国农业发展银行(铜川市分行营业部)
76|陕西信合|柳公路与锦阳三巷交叉口东南150米|0919-3191372|王益区|109.027169,35.004005|陕西信合
77|中国信合(北新街分社)|红旗街64号-2号|0919-4189328;0919-4183040|王益区|109.060600,35.060495|中国信合(北新街分社)
78|中国建设银行24小时自助银行(红旗街支行)|旬耀路北50米|0919-6281109|耀州区|108.965802,35.070895|中国建设银行24小时自助银行(红旗街支行)
79|陕西信合|楼耀路西50米|0919-5820008|耀州区|108.931932,34.890743|陕西信合
80|陕西信合|董桃路|0919-2686702|耀州区|109.029551,34.942362|陕西信合
81|陕西信合|幸福里西50米(华夏南道北)|0919-2182990|耀州区|108.978297,34.918118|陕西信合
82|陕西信合(华夏路分社)|新建巷8号|0919-6186932|王益区|109.074049,35.067127|陕西信合(华夏路分社)
83|中国信合(新建巷分社)|陈炉镇街道陈炉镇政府附近|0919-7189444|耀州区|108.901231,34.852738|中国信合(新建巷分社)
84|陕西信合(陈炉镇政府)|云梦堤与大同路交叉口东南50米|0919-6183806;0919-6186194|耀州区|108.873702,34.958075|陕西信合(陈炉镇政府)
85|陕西信合|三里洞花园|0919-4189328|耀州区|108.979975,34.972071|陕西信合
86|陕西信合(小丘信用社)|高楼河镇高楼河街道|0919-7684304|耀州区|108.943521,34.888297|陕西信合(小丘信用社)
87|中国银行(三里洞支行)|文营西路与锦阳路交叉口东北100米|0919-7382301|王益区|109.075998,35.069376|中国银行(三里洞支行)
88|陕西信合(石柱信用社)|育才路|0919-2182291|耀州区|108.977041,34.920617|陕西信合(石柱信用社)
89|陕西信合|利民路与育才路交叉口东150米|0919-7581304|印台区|109.159789,35.023930|陕西信合
90|中国建设银行24小时自助银行|华原路与塔坡路交叉口西南100米|0919-2895827|王益区|109.094697,35.074905|中国建设银行24小时自助银行
91|陕西信合(铜工信用社)|同官路118号|0919-3285597|耀州区|108.778370,34.907727|陕西信合(铜工信用社)
92|陕西信合|华原路与锦阳路交叉路口往西北约100米(华艺君城)|0919-2880603|印台区|109.102388,35.091429|陕西信合
93|陕西信合(新街信用社)|步寿路68号附近|0919-7392081|耀州区|108.965712,35.070861|陕西信合(新街信用社)
94|中国邮政储蓄银行|步寿路4号|0919-2392057|印台区|109.405726,35.131613|中国邮政储蓄银行
95|陕西信合耀州区贷款营销中心|药王路23号|0919-2163336|耀州区|108.974411,34.907786|陕西信合耀州区贷款营销中心
96|中国工商银行24小时自助银行(印台区支行)|新区咸丰路邮政局综合楼3楼|0919-2881856|王益区|109.073532,35.070741|中国工商银行24小时自助银行(印台区支行)
97|中国农业发展银行(铜川市耀州区支行)|延安路78附近|0919-4181063|耀州区|108.881783,35.191423|中国农业发展银行(铜川市耀州区支行)
98|中国信合24小时自助银行(北新街分社)|红旗街15号|0919-5888294|印台区|108.926811,35.303361|中国信合24小时自助银行(北新街分社)
99|中国人民银行(耀州支行)|农村信用合作社庙湾信用社|0919-5281371|王益区|109.072772,35.068356|中国人民银行(耀州支行)
100|中国邮政储蓄银行(耀州区支行)|黄堡街与210国道交叉口东南50米|0919-7390284|耀州区|108.976763,34.920579|中国邮政储蓄银行(耀州区支行)
101|中国邮政储蓄银行(铜川分行营业部)|新区咸丰路邮政局综合楼3楼|0919-2153053|印台区|109.102184,35.108314|中国邮政储蓄银行(铜川分行营业部)
102|中国信合(三里洞分社)|同官路104号|0919-5281505|耀州区|108.970043,34.919110|中国信合(三里洞分社)
103|陕西信合(耀州联社营业部)|同官路与平康路交叉口东50米|0919-6821263|耀州区|108.978477,34.917700|陕西信合(耀州联社营业部)
104|中国银行(铜川分行)|210国道西50米|0919-6911022|耀州区|108.977887,34.919555|中国银行(铜川分行)
105|陕西信合(庙湾信用社)|富红路北50米|0919-5281371|耀州区|108.974033,34.915433|陕西信合(庙湾信用社)
106|中国工商银行(黄堡支行)|广阳镇广阳镇街道|0919-5281770;0919-5281376|耀州区|108.941806,34.908165|中国工商银行(黄堡支行)
107|中国邮政储蓄银行24小时自助银行(铁诺北路支行)|红旗街4号|0919-6831002|印台区|109.101669,35.090973|中国邮政储蓄银行24小时自助银行(铁诺北路支行)
108|陕西信合(同官信用社)|重兴南路东50米|0919-5981326|耀州区|108.977093,34.920601|陕西信合(同官信用社)
109|陕西信合(鑫光分社)|金谟路与铁诺北路交叉路口东北侧(金谟小区)|0919-5281266|王益区|109.073329,35.066955|陕西信合(鑫光分社)
110|陕西信合(耀州区信用联社)|华兴北路与文营西路交叉口西50米|0919-5988308|耀州区|108.776924,35.160177|陕西信合(耀州区信用联社)
111|陕西信合|G65包茂高速(孝北村)||王益区|109.026691,35.002909|陕西信合
112|陕西信合(金锁信用社)|董家河镇||耀州区|108.941607,34.908370|陕西信合(金锁信用社)
113|陕西信合(阿庄信用社)|药王路86号||印台区|109.100466,35.100191|陕西信合(阿庄信用社)
114|陕西信合|川口路77金茂国际大厦||印台区|109.102147,35.109509|陕西信合
115|陕西信合招商分社|斯正街5附近||印台区|109.099938,35.116151|陕西信合招商分社
116|中国信合24小时自助银行(金华分社)|工人新村秦岭水泥股份有限公司||耀州区|108.947096,34.934327|中国信合24小时自助银行(金华分社)
117|中国银行24小时自助银行(金谟路支行)|新材料产业园区管委会西南||印台区|109.200139,35.106155|中国银行24小时自助银行(金谟路支行)
118|中国农业银行24小时自助银行|董桃路南50米||印台区|109.052938,35.212149|中国农业银行24小时自助银行
119|中国信合(孝北分社)|梅乐园小区东100米(文昌东路北)||印台区|109.309133,35.170855|中国信合(孝北分社)
120|中国信合(董家河信用社)|永乐堤||印台区|109.357460,35.118360|中国信合(董家河信用社)
121|中国农业银行24小时自助银行(耀州区支行)|七一路42号||印台区|109.102453,35.091498|中国农业银行24小时自助银行(耀州区支行)
122|中国银行ATM(川口支行)|旬耀路东50米||王益区|109.062582,35.062041|中国银行ATM(川口支行)
123|中国建设银行24小时自助银行|文营东路与文营西路交叉口北100米||王益区|109.104175,35.082125|中国建设银行24小时自助银行
